"title_betanet_helpdesk/event_newTicketCustomerEvent","New ticket from customer"
"title_betanet_helpdesk/event_newTicketPicEvent","New ticket from PIC"
"title_betanet_helpdesk/event_newReplyCustomerEvent","New reply from customer"
"title_betanet_helpdesk/event_newReplyPicEvent","New reply from customer"
"title_betanet_helpdesk/event_ticketChangedPicEvent","Ticket was assigned to another PIC"
"title_betanet_helpdesk/event_recurringEvent","Recurring tasks"
"title_betanet_helpdesk/condition_customerGroupCondition","Customer group"
"title_betanet_helpdesk/condition_departmentCondition","Ticket department"
"title_betanet_helpdesk/condition_ticketStatusCondition","Ticket status"
"title_betanet_helpdesk/condition_totalReplyCondition","Total replies"
"title_betanet_helpdesk/condition_totalReplyPicCondition","Total PIC's replies"
"title_betanet_helpdesk/condition_totalReplyCustomerCondition","Total customer's replies"
"title_betanet_helpdesk/condition_totalReplyCustomerCondition","Total customer's replies"
"title_betanet_helpdesk/condition_lastReplyByCondition","Last replied by"
"title_betanet_helpdesk/condition_lastReplyHoursCondition","Last replied X hours"
"title_betanet_helpdesk/condition_ticketTitleCondition","Title contains"
"title_betanet_helpdesk/condition_ticketBodyFirstLineCondition","First message contains"
"title_betanet_helpdesk/action_sendEmailCustomerAction","Send email to customer"
"title_betanet_helpdesk/action_sendEmailPicAction","Send email to PIC"
"title_betanet_helpdesk/action_changeStatusAction","Change status to"
"title_betanet_helpdesk/action_changePriorityAction","Change priority to"
"title_betanet_helpdesk/action_changePicAction","Assign ticket to"
"title_betanet_helpdesk/action_changeDepartmentAction","Change department to"